latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.96350057945667,-67.78776253276914,582.7671200508294,7.9677275381015615,711.907881206256,0,1,-54.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963722428143587,-67.78779606354033,564.106624377886,7.9677275381015615,711.907881206256,0,1,-51.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96393679454986,-67.78782846337214,544.3809086457168,7.9677275381015615,711.907881206256,0,1,-49.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96414327065252,-67.78785967058381,523.6275121296449,7.96772753810156,711.907881206256,0,1,-46.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96393679454986,-67.78782846337214,544.3809086457168,7.9677275381015615,711.907881206256,0,1,-49.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963722428143587,-67.78779606354033,564.106624377886,7.9677275381015615,711.907881206256,0,1,-51.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96350057945667,-67.78776253276914,582.7671200508294,7.9677275381015615,711.907881206256,0,1,-54.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963271670740024,-67.78772793488963,600.3268838896647,7.9677275381015615,711.907881206256,0,1,-56.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96350057945667,-67.78776253276914,582.7671200508294,7.9677275381015615,711.907881206256,0,1,-54.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963722428143587,-67.78779606354033,564.106624377886,7.9677275381015615,711.907881206256,0,1,-51.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96393679454986,-67.78782846337214,544.3809086457168,7.9677275381015615,711.907881206256,0,1,-49.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96414327065252,-67.78785967058381,523.6275121296449,7.96772753810156,711.907881206256,0,1,-46.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96393679454986,-67.78782846337214,544.3809086457168,7.9677275381015615,711.907881206256,0,1,-49.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963722428143587,-67.78779606354033,564.106624377886,7.9677275381015615,711.907881206256,0,1,-51.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96350057945667,-67.78776253276914,582.7671200508294,7.9677275381015615,711.907881206256,0,1,-54.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963271670740024,-67.78772793488963,600.3268838896647,7.9677275381015615,711.907881206256,0,1,-56.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96350057945667,-67.78776253276914,582.7671200508294,7.9677275381015615,711.907881206256,0,1,-54.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963722428143587,-67.78779606354033,564.106624377886,7.9677275381015615,711.907881206256,0,1,-51.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96393679454986,-67.78782846337214,544.3809086457168,7.9677275381015615,711.907881206256,0,1,-49.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96414327065252,-67.78785967058381,523.6275121296449,7.96772753810156,711.907881206256,0,1,-46.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96393679454986,-67.78782846337214,544.3809086457168,7.9677275381015615,711.907881206256,0,1,-49.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963722428143587,-67.78779606354033,564.106624377886,7.9677275381015615,711.907881206256,0,1,-51.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96350057945667,-67.78776253276914,582.7671200508294,7.9677275381015615,711.907881206256,0,1,-54.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963271670740024,-67.78772793488963,600.3268838896647,7.9677275381015615,711.907881206256,0,1,-56.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96350057945667,-67.78776253276914,582.7671200508294,7.9677275381015615,711.907881206256,0,1,-54.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.963722428143587,-67.78779606354033,564.106624377886,7.9677275381015615,711.907881206256,0,1,-51.82046903598862,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.96393679454986,-67.78782846337214,544.3809086457168,7.9677275381015615,711.907881206256,0,1,-49.32046903598863,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
