latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959921748047563,-67.78299487377103,502.19657032395935,270.0,700.0000000000001,0,1,-45.25,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921744849247,-67.782890352556,491.32850346932264,270.0,700.0000000000001,0,1,-44.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921748047563,-67.78299487377103,502.19657032395935,270.0,700.0000000000001,0,1,-45.25,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921751244636,-67.78310167955884,512.8280306588504,270.0,700.0000000000001,0,1,-46.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921754434376,-67.7832107190864,523.2178256674142,270.0,700.0000000000001,0,1,-47.74999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921757610715,-67.78332194045853,533.3610115622396,270.0,700.0000000000001,0,1,-49.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921754434376,-67.7832107190864,523.2178256674142,270.0,700.0000000000001,0,1,-47.74999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921751244636,-67.78310167955884,512.8280306588504,270.0,700.0000000000001,0,1,-46.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921748047563,-67.78299487377103,502.19657032395935,270.0,700.0000000000001,0,1,-45.25,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921744849247,-67.782890352556,491.32850346932264,270.0,700.0000000000001,0,1,-44.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921748047563,-67.78299487377103,502.19657032395935,270.0,700.0000000000001,0,1,-45.25,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921751244636,-67.78310167955884,512.8280306588504,270.0,700.0000000000001,0,1,-46.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921754434376,-67.7832107190864,523.2178256674142,270.0,700.0000000000001,0,1,-47.74999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921757610715,-67.78332194045853,533.3610115622396,270.0,700.0000000000001,0,1,-49.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921754434376,-67.7832107190864,523.2178256674142,270.0,700.0000000000001,0,1,-47.74999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921751244636,-67.78310167955884,512.8280306588504,270.0,700.0000000000001,0,1,-46.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921748047563,-67.78299487377103,502.19657032395935,270.0,700.0000000000001,0,1,-45.25,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921744849247,-67.782890352556,491.32850346932264,270.0,700.0000000000001,0,1,-44.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921748047563,-67.78299487377103,502.19657032395935,270.0,700.0000000000001,0,1,-45.25,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921751244636,-67.78310167955884,512.8280306588504,270.0,700.0000000000001,0,1,-46.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921754434376,-67.7832107190864,523.2178256674142,270.0,700.0000000000001,0,1,-47.74999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921757610715,-67.78332194045853,533.3610115622396,270.0,700.0000000000001,0,1,-49.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921754434376,-67.7832107190864,523.2178256674142,270.0,700.0000000000001,0,1,-47.74999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921751244636,-67.78310167955884,512.8280306588504,270.0,700.0000000000001,0,1,-46.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921748047563,-67.78299487377103,502.19657032395935,270.0,700.0000000000001,0,1,-45.25,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
