latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959917937056613,-67.78357433326406,553.4602631793214,267.98621091581276,737.8551726661779,0,1,-47.96631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959917937056613,-67.78357433326406,553.4602631793214,267.98621091581276,737.8551726661779,0,1,-47.96631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959917937056613,-67.78357433326406,553.4602631793214,267.98621091581276,737.8551726661779,0,1,-47.96631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959917937056613,-67.78357433326406,553.4602631793214,267.98621091581276,737.8551726661779,0,1,-47.96631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959917937056613,-67.78357433326406,553.4602631793214,267.98621091581276,737.8551726661779,0,1,-47.96631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959917937056613,-67.78357433326406,553.4602631793214,267.98621091581276,737.8551726661779,0,1,-47.96631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.95992567085225,-67.78381167530237,574.4869289358867,267.98621091581276,737.8551726661779,0,1,-50.466312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959917937056613,-67.78357433326406,553.4602631793214,267.98621091581276,737.8551726661779,0,1,-47.96631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
