latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,737.8551726661779,0,1,-44.216312501068074,-1,0,0,10.0,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959906899560288,-67.78323562084086,519.977304966098,267.98621091581276,737.8551726661779,0,1,-44.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959937797847065,-67.78418385978048,603.9839472399326,267.98621091581276,737.8551726661779,0,1,-54.21631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959906899560288,-67.78323562084086,519.977304966098,267.98621091581276,737.8551726661779,0,1,-44.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959937797847065,-67.78418385978048,603.9839472399326,267.98621091581276,737.8551726661779,0,1,-54.21631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959906899560288,-67.78323562084086,519.977304966098,267.98621091581276,737.8551726661779,0,1,-44.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959937797847065,-67.78418385978048,603.9839472399326,267.98621091581276,737.8551726661779,0,1,-54.21631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959906899560288,-67.78323562084086,519.977304966098,267.98621091581276,737.8551726661779,0,1,-44.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959914181005736,-67.78345906751922,542.553149006365,267.98621091581276,737.8551726661779,0,1,-46.71631250106807,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959921767614798,-67.78369188784043,564.1065450682927,267.98621091581276,737.8551726661779,0,1,-49.216312501068074,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959937797847065,-67.78418385978048,603.9839472399326,267.98621091581276,737.8551726661779,0,1,-54.21631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.959929644906367,-67.78393363864224,584.5964755903115,267.98621091581276,737.8551726661779,0,1,-51.71631250106808,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
