latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.96130527360209,-67.78838457184624,151.67556894712015,0.0,200.00000000000003,0,1,-46.99999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96136166850587,-67.78838457265131,145.58683548291174,0.0,200.00000000000003,0,1,-44.499999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961415613620648,-67.78838457347037,139.23125696096758,0.0,200.00000000000003,0,1,-41.999999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96136166850587,-67.78838457265131,145.58683548291174,0.0,200.00000000000003,0,1,-44.499999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96130527360209,-67.78838457184624,151.67556894712015,0.0,200.00000000000003,0,1,-46.99999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961246536259814,-67.78838457105668,157.48586788784178,0.0,200.00000000000003,0,1,-49.49999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961185568287238,-67.78838457028415,163.00667284940027,0.0,200.00000000000003,0,1,-52.0,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961246536259814,-67.78838457105668,157.48586788784178,0.0,200.00000000000003,0,1,-49.49999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96130527360209,-67.78838457184624,151.67556894712015,0.0,200.00000000000003,0,1,-46.99999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96136166850587,-67.78838457265131,145.58683548291174,0.0,200.00000000000003,0,1,-44.499999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961415613620648,-67.78838457347037,139.23125696096758,0.0,200.00000000000003,0,1,-41.999999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96136166850587,-67.78838457265131,145.58683548291174,0.0,200.00000000000003,0,1,-44.499999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96130527360209,-67.78838457184624,151.67556894712015,0.0,200.00000000000003,0,1,-46.99999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961246536259814,-67.78838457105668,157.48586788784178,0.0,200.00000000000003,0,1,-49.49999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961185568287238,-67.78838457028415,163.00667284940027,0.0,200.00000000000003,0,1,-52.0,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961246536259814,-67.78838457105668,157.48586788784178,0.0,200.00000000000003,0,1,-49.49999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96130527360209,-67.78838457184624,151.67556894712015,0.0,200.00000000000003,0,1,-46.99999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96136166850587,-67.78838457265131,145.58683548291174,0.0,200.00000000000003,0,1,-44.499999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961415613620648,-67.78838457347037,139.23125696096758,0.0,200.00000000000003,0,1,-41.999999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96136166850587,-67.78838457265131,145.58683548291174,0.0,200.00000000000003,0,1,-44.499999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96130527360209,-67.78838457184624,151.67556894712015,0.0,200.00000000000003,0,1,-46.99999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961246536259814,-67.78838457105668,157.48586788784178,0.0,200.00000000000003,0,1,-49.49999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961185568287238,-67.78838457028415,163.00667284940027,0.0,200.00000000000003,0,1,-52.0,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.961246536259814,-67.78838457105668,157.48586788784178,0.0,200.00000000000003,0,1,-49.49999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96130527360209,-67.78838457184624,151.67556894712015,0.0,200.00000000000003,0,1,-46.99999999999999,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96136166850587,-67.78838457265131,145.58683548291174,0.0,200.00000000000003,0,1,-44.499999999999986,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
