latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.959953,-67.784762,343.464337,269.041709,0.000000,0,1,-42.275682,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960009,-67.788366,7.099242,0,-1,-1
-22.959945,-67.784762,343.464337,268.906595,0.000000,0,1,-42.277269,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960009,-67.788366,7.099242,0,-1,-1
-22.959953,-67.784762,343.464337,267.690160,0.000000,0,1,-42.284411,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.959945,-67.784762,343.464337,267.554991,0.000000,0,1,-42.284411,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.959953,-67.784762,343.464337,266.338557,0.000000,0,1,-42.277269,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960166,-67.788359,7.099242,0,-1,-1
-22.959945,-67.784762,343.464337,266.203442,0.000000,0,1,-42.275682,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960166,-67.788359,7.099242,0,-1,-1
-22.959953,-67.784762,343.464337,264.987579,0.000000,0,1,-42.254262,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960245,-67.788353,7.252953,0,-1,-1
-22.959945,-67.784762,343.464337,264.852628,0.000000,0,1,-42.251092,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960245,-67.788353,7.252953,0,-1,-1
-22.959953,-67.784762,343.464337,263.637905,0.000000,0,1,-42.215415,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960323,-67.788347,7.509086,0,-1,-1
-22.959945,-67.784762,343.464337,263.503226,0.000000,0,1,-42.210667,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960323,-67.788347,7.509086,0,-1,-1
-22.959953,-67.784762,343.464337,262.290207,0.000000,0,1,-42.160767,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960402,-67.788340,7.867563,0,-1,-1
-22.959945,-67.784762,343.464337,262.155907,0.000000,0,1,-42.154452,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960402,-67.788340,7.867563,0,-1,-1
-22.959953,-67.784762,343.464337,260.945148,0.000000,0,1,-42.090376,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960480,-67.788331,8.328275,0,-1,-1
-22.959945,-67.784762,343.464337,260.811334,0.000000,0,1,-42.082505,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960480,-67.788331,8.328275,0,-1,-1
-22.959953,-67.784762,343.464337,260.945148,0.000000,0,1,-42.090376,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960480,-67.788331,8.328275,0,-1,-1
-22.959945,-67.784762,343.464337,262.155907,0.000000,0,1,-42.154452,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960402,-67.788340,7.867563,0,-1,-1
-22.959953,-67.784762,343.464337,262.290207,0.000000,0,1,-42.160767,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960402,-67.788340,7.867563,0,-1,-1
-22.959945,-67.784762,343.464337,263.503226,0.000000,0,1,-42.210667,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960323,-67.788347,7.509086,0,-1,-1
-22.959953,-67.784762,343.464337,263.637905,0.000000,0,1,-42.215415,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960323,-67.788347,7.509086,0,-1,-1
-22.959945,-67.784762,343.464337,264.852628,0.000000,0,1,-42.251092,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960245,-67.788353,7.252953,0,-1,-1
-22.959953,-67.784762,343.464337,264.987579,0.000000,0,1,-42.254262,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960245,-67.788353,7.252953,0,-1,-1
-22.959945,-67.784762,343.464337,266.203442,0.000000,0,1,-42.275682,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960166,-67.788359,7.099242,0,-1,-1
-22.959953,-67.784762,343.464337,266.338557,0.000000,0,1,-42.277269,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960166,-67.788359,7.099242,0,-1,-1
-22.959945,-67.784762,343.464337,267.554991,0.000000,0,1,-42.284411,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.959953,-67.784762,343.464337,267.690160,0.000000,0,1,-42.284411,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.959945,-67.784762,343.464337,268.906595,0.000000,0,1,-42.277269,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960009,-67.788366,7.099242,0,-1,-1
-22.959953,-67.784762,343.464337,269.041709,0.000000,0,1,-42.275682,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960009,-67.788366,7.099242,0,-1,-1
-22.959945,-67.784762,343.464337,270.257573,0.000000,0,1,-42.254262,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959930,-67.788368,7.252953,0,-1,-1
-22.959953,-67.784762,343.464337,270.392524,0.000000,0,1,-42.251092,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959930,-67.788368,7.252953,0,-1,-1
-22.959945,-67.784762,343.464337,271.607247,0.000000,0,1,-42.215415,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959851,-67.788368,7.509086,0,-1,-1
-22.959953,-67.784762,343.464337,271.741926,0.000000,0,1,-42.210667,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959851,-67.788368,7.509086,0,-1,-1
-22.959945,-67.784762,343.464337,272.954945,0.000000,0,1,-42.160767,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959773,-67.788368,7.867563,0,-1,-1
-22.959953,-67.784762,343.464337,273.089245,0.000000,0,1,-42.154452,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959773,-67.788368,7.867563,0,-1,-1
-22.959945,-67.784762,343.464337,274.300004,0.000000,0,1,-42.090376,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959694,-67.788367,8.328275,0,-1,-1
-22.959953,-67.784762,343.464337,274.433818,0.000000,0,1,-42.082505,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959694,-67.788367,8.328275,0,-1,-1
-22.959945,-67.784762,343.464337,274.300004,0.000000,0,1,-42.090376,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959694,-67.788367,8.328275,0,-1,-1
-22.959953,-67.784762,343.464337,273.089245,0.000000,0,1,-42.154452,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959773,-67.788368,7.867563,0,-1,-1
-22.959945,-67.784762,343.464337,272.954945,0.000000,0,1,-42.160767,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959773,-67.788368,7.867563,0,-1,-1
-22.959953,-67.784762,343.464337,271.741926,0.000000,0,1,-42.210667,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959851,-67.788368,7.509086,0,-1,-1
-22.959945,-67.784762,343.464337,271.607247,0.000000,0,1,-42.215415,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959851,-67.788368,7.509086,0,-1,-1
-22.959953,-67.784762,343.464337,270.392524,0.000000,0,1,-42.251092,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959930,-67.788368,7.252953,0,-1,-1
-22.959945,-67.784762,343.464337,270.257573,0.000000,0,1,-42.254262,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959930,-67.788368,7.252953,0,-1,-1
-22.959953,-67.784762,343.464337,269.041709,0.000000,0,1,-42.275682,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960009,-67.788366,7.099242,0,-1,-1
-22.959945,-67.784762,343.464337,268.906595,0.000000,0,1,-42.277269,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960009,-67.788366,7.099242,0,-1,-1
-22.959953,-67.784762,343.464337,267.690160,0.000000,0,1,-42.284411,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.959945,-67.784762,343.464337,267.554991,0.000000,0,1,-42.284411,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.959953,-67.784762,343.464337,266.338557,0.000000,0,1,-42.277269,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960166,-67.788359,7.099242,0,-1,-1
-22.959945,-67.784762,343.464337,266.203442,0.000000,0,1,-42.275682,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960166,-67.788359,7.099242,0,-1,-1
-22.959953,-67.784762,343.464337,264.987579,0.000000,0,1,-42.254262,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960245,-67.788353,7.252953,0,-1,-1
-22.959945,-67.784762,343.464337,264.852628,0.000000,0,1,-42.251092,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960245,-67.788353,7.252953,0,-1,-1
-22.959953,-67.784762,343.464337,263.637905,0.000000,0,1,-42.215415,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960323,-67.788347,7.509086,0,-1,-1
-22.959945,-67.784762,343.464337,263.503226,0.000000,0,1,-42.210667,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960323,-67.788347,7.509086,0,-1,-1
-22.959953,-67.784762,343.464337,262.290207,0.000000,0,1,-42.160767,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960402,-67.788340,7.867563,0,-1,-1
-22.959945,-67.784762,343.464337,262.155907,0.000000,0,1,-42.154452,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960402,-67.788340,7.867563,0,-1,-1
-22.959953,-67.784762,343.464337,260.945148,0.000000,0,1,-42.090376,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960480,-67.788331,8.328275,0,-1,-1
-22.959945,-67.784762,343.464337,260.811334,0.000000,0,1,-42.082505,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960480,-67.788331,8.328275,0,-1,-1
-22.959953,-67.784762,343.464337,260.945148,0.000000,0,1,-42.090376,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960480,-67.788331,8.328275,0,-1,-1
-22.959945,-67.784762,343.464337,262.155907,0.000000,0,1,-42.154452,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960402,-67.788340,7.867563,0,-1,-1
