latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.963060,-67.787769,378.159626,349.529454,0.000000,0,1,-51.919635,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960324,-67.788315,-15.422372,0,-1,-1
-22.963059,-67.787761,378.159626,349.367318,0.000000,0,1,-51.919635,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960324,-67.788315,-15.422372,0,-1,-1
-22.963060,-67.787769,378.159626,349.527699,0.000000,0,1,-50.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960264,-67.788327,-9.980431,0,-1,-1
-22.963059,-67.787761,378.159626,349.369072,0.000000,0,1,-50.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960264,-67.788327,-9.980431,0,-1,-1
-22.963060,-67.787769,378.159626,349.526042,0.000000,0,1,-49.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960204,-67.788339,-4.420253,0,-1,-1
-22.963059,-67.787761,378.159626,349.370729,0.000000,0,1,-49.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960204,-67.788339,-4.420253,0,-1,-1
-22.963060,-67.787769,378.159626,349.524476,0.000000,0,1,-48.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960145,-67.788351,1.256467,0,-1,-1
-22.963059,-67.787761,378.159626,349.372296,0.000000,0,1,-48.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960145,-67.788351,1.256467,0,-1,-1
-22.963060,-67.787769,378.159626,349.522994,0.000000,0,1,-47.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963060,-67.787769,378.159626,349.521590,0.000000,0,1,-46.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960031,-67.788374,12.952581,0,-1,-1
-22.963059,-67.787761,378.159626,349.375182,0.000000,0,1,-46.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960031,-67.788374,12.952581,0,-1,-1
-22.963060,-67.787769,378.159626,349.520259,0.000000,0,1,-45.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959975,-67.788385,18.968411,0,-1,-1
-22.963059,-67.787761,378.159626,349.376512,0.000000,0,1,-45.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959975,-67.788385,18.968411,0,-1,-1
-22.963060,-67.787769,378.159626,349.518998,0.000000,0,1,-44.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959919,-67.788397,25.093657,0,-1,-1
-22.963059,-67.787761,378.159626,349.377774,0.000000,0,1,-44.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959919,-67.788397,25.093657,0,-1,-1
-22.963060,-67.787769,378.159626,349.517800,0.000000,0,1,-43.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959865,-67.788407,31.326454,0,-1,-1
-22.963059,-67.787761,378.159626,349.378972,0.000000,0,1,-43.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959865,-67.788407,31.326454,0,-1,-1
-22.963060,-67.787769,378.159626,349.516663,0.000000,0,1,-42.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959812,-67.788418,37.664902,0,-1,-1
-22.963059,-67.787761,378.159626,349.380109,0.000000,0,1,-42.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959812,-67.788418,37.664902,0,-1,-1
-22.963060,-67.787769,378.159626,349.516663,0.000000,0,1,-42.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959812,-67.788418,37.664902,0,-1,-1
-22.963059,-67.787761,378.159626,349.378972,0.000000,0,1,-43.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959865,-67.788407,31.326454,0,-1,-1
-22.963060,-67.787769,378.159626,349.517800,0.000000,0,1,-43.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959865,-67.788407,31.326454,0,-1,-1
-22.963059,-67.787761,378.159626,349.377774,0.000000,0,1,-44.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959919,-67.788397,25.093657,0,-1,-1
-22.963060,-67.787769,378.159626,349.518998,0.000000,0,1,-44.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959919,-67.788397,25.093657,0,-1,-1
-22.963059,-67.787761,378.159626,349.376512,0.000000,0,1,-45.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959975,-67.788385,18.968411,0,-1,-1
-22.963060,-67.787769,378.159626,349.520259,0.000000,0,1,-45.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959975,-67.788385,18.968411,0,-1,-1
-22.963059,-67.787761,378.159626,349.375182,0.000000,0,1,-46.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960031,-67.788374,12.952581,0,-1,-1
-22.963060,-67.787769,378.159626,349.521590,0.000000,0,1,-46.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960031,-67.788374,12.952581,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963060,-67.787769,378.159626,349.522994,0.000000,0,1,-47.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963059,-67.787761,378.159626,349.372296,0.000000,0,1,-48.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960145,-67.788351,1.256467,0,-1,-1
-22.963060,-67.787769,378.159626,349.524476,0.000000,0,1,-48.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960145,-67.788351,1.256467,0,-1,-1
-22.963059,-67.787761,378.159626,349.370729,0.000000,0,1,-49.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960204,-67.788339,-4.420253,0,-1,-1
-22.963060,-67.787769,378.159626,349.526042,0.000000,0,1,-49.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960204,-67.788339,-4.420253,0,-1,-1
-22.963059,-67.787761,378.159626,349.369072,0.000000,0,1,-50.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960264,-67.788327,-9.980431,0,-1,-1
-22.963060,-67.787769,378.159626,349.527699,0.000000,0,1,-50.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960264,-67.788327,-9.980431,0,-1,-1
-22.963059,-67.787761,378.159626,349.367318,0.000000,0,1,-51.919635,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960324,-67.788315,-15.422372,0,-1,-1
-22.963060,-67.787769,378.159626,349.529454,0.000000,0,1,-51.919635,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960324,-67.788315,-15.422372,0,-1,-1
-22.963059,-67.787761,378.159626,349.365458,0.000000,0,1,-52.919634,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960386,-67.788303,-20.744420,0,-1,-1
-22.963060,-67.787769,378.159626,349.531314,0.000000,0,1,-52.919634,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960386,-67.788303,-20.744420,0,-1,-1
-22.963059,-67.787761,378.159626,349.365458,0.000000,0,1,-52.919634,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960386,-67.788303,-20.744420,0,-1,-1
-22.963060,-67.787769,378.159626,349.529454,0.000000,0,1,-51.919635,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960324,-67.788315,-15.422372,0,-1,-1
-22.963059,-67.787761,378.159626,349.367318,0.000000,0,1,-51.919635,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960324,-67.788315,-15.422372,0,-1,-1
-22.963060,-67.787769,378.159626,349.527699,0.000000,0,1,-50.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960264,-67.788327,-9.980431,0,-1,-1
-22.963059,-67.787761,378.159626,349.369072,0.000000,0,1,-50.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960264,-67.788327,-9.980431,0,-1,-1
-22.963060,-67.787769,378.159626,349.526042,0.000000,0,1,-49.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960204,-67.788339,-4.420253,0,-1,-1
-22.963059,-67.787761,378.159626,349.370729,0.000000,0,1,-49.919636,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960204,-67.788339,-4.420253,0,-1,-1
-22.963060,-67.787769,378.159626,349.524476,0.000000,0,1,-48.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960145,-67.788351,1.256467,0,-1,-1
-22.963059,-67.787761,378.159626,349.372296,0.000000,0,1,-48.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960145,-67.788351,1.256467,0,-1,-1
-22.963060,-67.787769,378.159626,349.522994,0.000000,0,1,-47.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963060,-67.787769,378.159626,349.521590,0.000000,0,1,-46.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960031,-67.788374,12.952581,0,-1,-1
-22.963059,-67.787761,378.159626,349.375182,0.000000,0,1,-46.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960031,-67.788374,12.952581,0,-1,-1
-22.963060,-67.787769,378.159626,349.520259,0.000000,0,1,-45.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959975,-67.788385,18.968411,0,-1,-1
-22.963059,-67.787761,378.159626,349.376512,0.000000,0,1,-45.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959975,-67.788385,18.968411,0,-1,-1
-22.963060,-67.787769,378.159626,349.518998,0.000000,0,1,-44.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959919,-67.788397,25.093657,0,-1,-1
-22.963059,-67.787761,378.159626,349.377774,0.000000,0,1,-44.919638,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959919,-67.788397,25.093657,0,-1,-1
-22.963060,-67.787769,378.159626,349.517800,0.000000,0,1,-43.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959865,-67.788407,31.326454,0,-1,-1
-22.963059,-67.787761,378.159626,349.378972,0.000000,0,1,-43.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959865,-67.788407,31.326454,0,-1,-1
-22.963060,-67.787769,378.159626,349.516663,0.000000,0,1,-42.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959812,-67.788418,37.664902,0,-1,-1
-22.963059,-67.787761,378.159626,349.380109,0.000000,0,1,-42.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959812,-67.788418,37.664902,0,-1,-1
-22.963060,-67.787769,378.159626,349.516663,0.000000,0,1,-42.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959812,-67.788418,37.664902,0,-1,-1
-22.963059,-67.787761,378.159626,349.378972,0.000000,0,1,-43.919639,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959865,-67.788407,31.326454,0,-1,-1
