latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.962927,-67.787762,362.623632,9.822863,0.000000,0,1,-48.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959980,-67.787211,-11.683043,0,-1,-1
-22.962929,-67.787754,362.623632,9.670512,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962927,-67.787762,362.623632,9.824391,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962929,-67.787754,362.623632,9.668897,0.000000,0,1,-50.468735,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960098,-67.787233,-23.024655,0,-1,-1
-22.962927,-67.787762,362.623632,9.826006,0.000000,0,1,-50.468735,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960098,-67.787233,-23.024655,0,-1,-1
-22.962929,-67.787754,362.623632,9.668897,0.000000,0,1,-50.468735,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960098,-67.787233,-23.024655,0,-1,-1
-22.962927,-67.787762,362.623632,9.824391,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962929,-67.787754,362.623632,9.670512,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962927,-67.787762,362.623632,9.822863,0.000000,0,1,-48.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959980,-67.787211,-11.683043,0,-1,-1
-22.962929,-67.787754,362.623632,9.672040,0.000000,0,1,-48.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959980,-67.787211,-11.683043,0,-1,-1
-22.962927,-67.787762,362.623632,9.821417,0.000000,0,1,-47.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959923,-67.787201,-5.840332,0,-1,-1
-22.962929,-67.787754,362.623632,9.673486,0.000000,0,1,-47.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959923,-67.787201,-5.840332,0,-1,-1
-22.962927,-67.787762,362.623632,9.820047,0.000000,0,1,-46.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959866,-67.787190,0.114620,0,-1,-1
-22.962929,-67.787754,362.623632,9.674856,0.000000,0,1,-46.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959866,-67.787190,0.114620,0,-1,-1
-22.962927,-67.787762,362.623632,9.818748,0.000000,0,1,-45.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.962929,-67.787754,362.623632,9.676155,0.000000,0,1,-45.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.962927,-67.787762,362.623632,9.817516,0.000000,0,1,-44.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787170,12.353959,0,-1,-1
-22.962929,-67.787754,362.623632,9.677388,0.000000,0,1,-44.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787170,12.353959,0,-1,-1
-22.962927,-67.787762,362.623632,9.816346,0.000000,0,1,-43.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959701,-67.787160,18.634616,0,-1,-1
-22.962929,-67.787754,362.623632,9.678557,0.000000,0,1,-43.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959701,-67.787160,18.634616,0,-1,-1
-22.962927,-67.787762,362.623632,9.815235,0.000000,0,1,-42.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959648,-67.787150,25.020059,0,-1,-1
-22.962929,-67.787754,362.623632,9.679668,0.000000,0,1,-42.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959648,-67.787150,25.020059,0,-1,-1
-22.962927,-67.787762,362.623632,9.814179,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962929,-67.787754,362.623632,9.680724,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962927,-67.787762,362.623632,9.813175,0.000000,0,1,-40.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959546,-67.787131,38.097485,0,-1,-1
-22.962929,-67.787754,362.623632,9.681728,0.000000,0,1,-40.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959546,-67.787131,38.097485,0,-1,-1
-22.962927,-67.787762,362.623632,9.813175,0.000000,0,1,-40.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959546,-67.787131,38.097485,0,-1,-1
-22.962929,-67.787754,362.623632,9.680724,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962927,-67.787762,362.623632,9.814179,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962929,-67.787754,362.623632,9.679668,0.000000,0,1,-42.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959648,-67.787150,25.020059,0,-1,-1
-22.962927,-67.787762,362.623632,9.815235,0.000000,0,1,-42.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959648,-67.787150,25.020059,0,-1,-1
-22.962929,-67.787754,362.623632,9.678557,0.000000,0,1,-43.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959701,-67.787160,18.634616,0,-1,-1
-22.962927,-67.787762,362.623632,9.816346,0.000000,0,1,-43.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959701,-67.787160,18.634616,0,-1,-1
-22.962929,-67.787754,362.623632,9.677388,0.000000,0,1,-44.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787170,12.353959,0,-1,-1
-22.962927,-67.787762,362.623632,9.817516,0.000000,0,1,-44.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787170,12.353959,0,-1,-1
-22.962929,-67.787754,362.623632,9.676155,0.000000,0,1,-45.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.962927,-67.787762,362.623632,9.818748,0.000000,0,1,-45.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.962929,-67.787754,362.623632,9.674856,0.000000,0,1,-46.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959866,-67.787190,0.114620,0,-1,-1
-22.962927,-67.787762,362.623632,9.820047,0.000000,0,1,-46.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959866,-67.787190,0.114620,0,-1,-1
-22.962929,-67.787754,362.623632,9.673486,0.000000,0,1,-47.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959923,-67.787201,-5.840332,0,-1,-1
-22.962927,-67.787762,362.623632,9.821417,0.000000,0,1,-47.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959923,-67.787201,-5.840332,0,-1,-1
-22.962929,-67.787754,362.623632,9.672040,0.000000,0,1,-48.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959980,-67.787211,-11.683043,0,-1,-1
-22.962927,-67.787762,362.623632,9.822863,0.000000,0,1,-48.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959980,-67.787211,-11.683043,0,-1,-1
-22.962929,-67.787754,362.623632,9.670512,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962927,-67.787762,362.623632,9.824391,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962929,-67.787754,362.623632,9.668897,0.000000,0,1,-50.468735,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960098,-67.787233,-23.024655,0,-1,-1
-22.962927,-67.787762,362.623632,9.826006,0.000000,0,1,-50.468735,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960098,-67.787233,-23.024655,0,-1,-1
-22.962929,-67.787754,362.623632,9.668897,0.000000,0,1,-50.468735,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960098,-67.787233,-23.024655,0,-1,-1
-22.962927,-67.787762,362.623632,9.824391,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962929,-67.787754,362.623632,9.670512,0.000000,0,1,-49.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960039,-67.787222,-17.411732,0,-1,-1
-22.962927,-67.787762,362.623632,9.822863,0.000000,0,1,-48.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959980,-67.787211,-11.683043,0,-1,-1
-22.962929,-67.787754,362.623632,9.672040,0.000000,0,1,-48.468736,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959980,-67.787211,-11.683043,0,-1,-1
-22.962927,-67.787762,362.623632,9.821417,0.000000,0,1,-47.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959923,-67.787201,-5.840332,0,-1,-1
-22.962929,-67.787754,362.623632,9.673486,0.000000,0,1,-47.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959923,-67.787201,-5.840332,0,-1,-1
-22.962927,-67.787762,362.623632,9.820047,0.000000,0,1,-46.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959866,-67.787190,0.114620,0,-1,-1
-22.962929,-67.787754,362.623632,9.674856,0.000000,0,1,-46.468737,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959866,-67.787190,0.114620,0,-1,-1
-22.962927,-67.787762,362.623632,9.818748,0.000000,0,1,-45.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.962929,-67.787754,362.623632,9.676155,0.000000,0,1,-45.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.962927,-67.787762,362.623632,9.817516,0.000000,0,1,-44.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787170,12.353959,0,-1,-1
-22.962929,-67.787754,362.623632,9.677388,0.000000,0,1,-44.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787170,12.353959,0,-1,-1
-22.962927,-67.787762,362.623632,9.816346,0.000000,0,1,-43.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959701,-67.787160,18.634616,0,-1,-1
-22.962929,-67.787754,362.623632,9.678557,0.000000,0,1,-43.468738,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959701,-67.787160,18.634616,0,-1,-1
-22.962927,-67.787762,362.623632,9.815235,0.000000,0,1,-42.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959648,-67.787150,25.020059,0,-1,-1
-22.962929,-67.787754,362.623632,9.679668,0.000000,0,1,-42.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959648,-67.787150,25.020059,0,-1,-1
-22.962927,-67.787762,362.623632,9.814179,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962929,-67.787754,362.623632,9.680724,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962927,-67.787762,362.623632,9.813175,0.000000,0,1,-40.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959546,-67.787131,38.097485,0,-1,-1
-22.962929,-67.787754,362.623632,9.681728,0.000000,0,1,-40.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959546,-67.787131,38.097485,0,-1,-1
-22.962927,-67.787762,362.623632,9.813175,0.000000,0,1,-40.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959546,-67.787131,38.097485,0,-1,-1
-22.962929,-67.787754,362.623632,9.680724,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962927,-67.787762,362.623632,9.814179,0.000000,0,1,-41.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959597,-67.787140,31.508341,0,-1,-1
-22.962929,-67.787754,362.623632,9.679668,0.000000,0,1,-42.468739,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959648,-67.787150,25.020059,0,-1,-1
