latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.959956,-67.784253,398.410112,279.396736,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959498,-67.787240,6.747540,0,-1,-1
-22.959948,-67.784252,398.410112,280.839370,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,280.998955,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,282.436236,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959342,-67.787220,7.702561,0,-1,-1
-22.959956,-67.784253,398.410112,282.594914,0.000000,0,1,-51.383513,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959342,-67.787220,7.702561,0,-1,-1
-22.959948,-67.784252,398.410112,282.436236,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959342,-67.787220,7.702561,0,-1,-1
-22.959956,-67.784253,398.410112,280.998955,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,280.839370,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,279.396736,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959498,-67.787240,6.747540,0,-1,-1
-22.959948,-67.784252,398.410112,279.236440,0.000000,0,1,-51.567958,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959498,-67.787240,6.747540,0,-1,-1
-22.959956,-67.784253,398.410112,277.789757,0.000000,0,1,-51.617530,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959576,-67.787249,6.448937,0,-1,-1
-22.959948,-67.784252,398.410112,277.628949,0.000000,0,1,-51.621936,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959576,-67.787249,6.448937,0,-1,-1
-22.959956,-67.784253,398.410112,276.179552,0.000000,0,1,-51.651712,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959654,-67.787257,6.269739,0,-1,-1
-22.959948,-67.784252,398.410112,276.018436,0.000000,0,1,-51.653918,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959654,-67.787257,6.269739,0,-1,-1
-22.959956,-67.784253,398.410112,274.567676,0.000000,0,1,-51.663849,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959733,-67.787265,6.210000,0,-1,-1
-22.959948,-67.784252,398.410112,274.406457,0.000000,0,1,-51.663849,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959733,-67.787265,6.210000,0,-1,-1
-22.959956,-67.784253,398.410112,272.955697,0.000000,0,1,-51.653918,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959811,-67.787271,6.269739,0,-1,-1
-22.959948,-67.784252,398.410112,272.794581,0.000000,0,1,-51.651712,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959811,-67.787271,6.269739,0,-1,-1
-22.959956,-67.784253,398.410112,271.345184,0.000000,0,1,-51.621936,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959890,-67.787276,6.448937,0,-1,-1
-22.959948,-67.784252,398.410112,271.184376,0.000000,0,1,-51.617530,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959890,-67.787276,6.448937,0,-1,-1
-22.959956,-67.784253,398.410112,269.737693,0.000000,0,1,-51.567958,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959968,-67.787280,6.747540,0,-1,-1
-22.959948,-67.784252,398.410112,269.577397,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959968,-67.787280,6.747540,0,-1,-1
-22.959956,-67.784253,398.410112,268.134763,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,267.975178,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,266.537897,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960126,-67.787286,7.702561,0,-1,-1
-22.959948,-67.784252,398.410112,266.379219,0.000000,0,1,-51.383513,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960126,-67.787286,7.702561,0,-1,-1
-22.959956,-67.784253,398.410112,266.537897,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960126,-67.787286,7.702561,0,-1,-1
-22.959948,-67.784252,398.410112,267.975178,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,268.134763,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,269.577397,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959968,-67.787280,6.747540,0,-1,-1
-22.959956,-67.784253,398.410112,269.737693,0.000000,0,1,-51.567958,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959968,-67.787280,6.747540,0,-1,-1
-22.959948,-67.784252,398.410112,271.184376,0.000000,0,1,-51.617530,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959890,-67.787276,6.448937,0,-1,-1
-22.959956,-67.784253,398.410112,271.345184,0.000000,0,1,-51.621936,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959890,-67.787276,6.448937,0,-1,-1
-22.959948,-67.784252,398.410112,272.794581,0.000000,0,1,-51.651712,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959811,-67.787271,6.269739,0,-1,-1
-22.959956,-67.784253,398.410112,272.955697,0.000000,0,1,-51.653918,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959811,-67.787271,6.269739,0,-1,-1
-22.959948,-67.784252,398.410112,274.406457,0.000000,0,1,-51.663849,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959733,-67.787265,6.210000,0,-1,-1
-22.959956,-67.784253,398.410112,274.567676,0.000000,0,1,-51.663849,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959733,-67.787265,6.210000,0,-1,-1
-22.959948,-67.784252,398.410112,276.018436,0.000000,0,1,-51.653918,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959654,-67.787257,6.269739,0,-1,-1
-22.959956,-67.784253,398.410112,276.179552,0.000000,0,1,-51.651712,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959654,-67.787257,6.269739,0,-1,-1
-22.959948,-67.784252,398.410112,277.628949,0.000000,0,1,-51.621936,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959576,-67.787249,6.448937,0,-1,-1
-22.959956,-67.784253,398.410112,277.789757,0.000000,0,1,-51.617530,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959576,-67.787249,6.448937,0,-1,-1
-22.959948,-67.784252,398.410112,279.236440,0.000000,0,1,-51.567958,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959498,-67.787240,6.747540,0,-1,-1
-22.959956,-67.784253,398.410112,279.396736,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959498,-67.787240,6.747540,0,-1,-1
-22.959948,-67.784252,398.410112,280.839370,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,280.998955,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,282.436236,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959342,-67.787220,7.702561,0,-1,-1
-22.959956,-67.784253,398.410112,282.594914,0.000000,0,1,-51.383513,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959342,-67.787220,7.702561,0,-1,-1
-22.959948,-67.784252,398.410112,282.436236,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959342,-67.787220,7.702561,0,-1,-1
-22.959956,-67.784253,398.410112,280.998955,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,280.839370,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959420,-67.787231,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,279.396736,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959498,-67.787240,6.747540,0,-1,-1
-22.959948,-67.784252,398.410112,279.236440,0.000000,0,1,-51.567958,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959498,-67.787240,6.747540,0,-1,-1
-22.959956,-67.784253,398.410112,277.789757,0.000000,0,1,-51.617530,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959576,-67.787249,6.448937,0,-1,-1
-22.959948,-67.784252,398.410112,277.628949,0.000000,0,1,-51.621936,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959576,-67.787249,6.448937,0,-1,-1
-22.959956,-67.784253,398.410112,276.179552,0.000000,0,1,-51.651712,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959654,-67.787257,6.269739,0,-1,-1
-22.959948,-67.784252,398.410112,276.018436,0.000000,0,1,-51.653918,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959654,-67.787257,6.269739,0,-1,-1
-22.959956,-67.784253,398.410112,274.567676,0.000000,0,1,-51.663849,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959733,-67.787265,6.210000,0,-1,-1
-22.959948,-67.784252,398.410112,274.406457,0.000000,0,1,-51.663849,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959733,-67.787265,6.210000,0,-1,-1
-22.959956,-67.784253,398.410112,272.955697,0.000000,0,1,-51.653918,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959811,-67.787271,6.269739,0,-1,-1
-22.959948,-67.784252,398.410112,272.794581,0.000000,0,1,-51.651712,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959811,-67.787271,6.269739,0,-1,-1
-22.959956,-67.784253,398.410112,271.345184,0.000000,0,1,-51.621936,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959890,-67.787276,6.448937,0,-1,-1
-22.959948,-67.784252,398.410112,271.184376,0.000000,0,1,-51.617530,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959890,-67.787276,6.448937,0,-1,-1
-22.959956,-67.784253,398.410112,269.737693,0.000000,0,1,-51.567958,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959968,-67.787280,6.747540,0,-1,-1
-22.959948,-67.784252,398.410112,269.577397,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959968,-67.787280,6.747540,0,-1,-1
-22.959956,-67.784253,398.410112,268.134763,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,267.975178,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,266.537897,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960126,-67.787286,7.702561,0,-1,-1
-22.959948,-67.784252,398.410112,266.379219,0.000000,0,1,-51.383513,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960126,-67.787286,7.702561,0,-1,-1
-22.959956,-67.784253,398.410112,266.537897,0.000000,0,1,-51.394426,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960126,-67.787286,7.702561,0,-1,-1
-22.959948,-67.784252,398.410112,267.975178,0.000000,0,1,-51.483312,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959956,-67.784253,398.410112,268.134763,0.000000,0,1,-51.492078,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960047,-67.787284,7.165458,0,-1,-1
-22.959948,-67.784252,398.410112,269.577397,0.000000,0,1,-51.561363,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959968,-67.787280,6.747540,0,-1,-1
