latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962761,-67.787821,405.950451,357.626861,0.000000,0,1,-52.656673,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960027,-67.787943,8.460308,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963153,-67.787742,368.257320,346.966676,0.000000,0,1,-46.225432,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960113,-67.788502,7.205012,0,-1,-1
-22.963245,-67.787723,358.049405,344.703865,0.000000,0,1,-44.482361,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960141,-67.788640,7.675914,0,-1,-1
-22.963334,-67.787705,347.544515,342.570474,0.000000,0,1,-42.694289,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960171,-67.788778,8.460308,0,-1,-1
-22.963245,-67.787723,358.049405,344.703865,0.000000,0,1,-44.482361,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960141,-67.788640,7.675914,0,-1,-1
-22.963153,-67.787742,368.257320,346.966676,0.000000,0,1,-46.225432,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960113,-67.788502,7.205012,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962761,-67.787821,405.950451,357.626861,0.000000,0,1,-52.656673,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960027,-67.787943,8.460308,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963153,-67.787742,368.257320,346.966676,0.000000,0,1,-46.225432,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960113,-67.788502,7.205012,0,-1,-1
-22.963245,-67.787723,358.049405,344.703865,0.000000,0,1,-44.482361,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960141,-67.788640,7.675914,0,-1,-1
-22.963334,-67.787705,347.544515,342.570474,0.000000,0,1,-42.694289,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960171,-67.788778,8.460308,0,-1,-1
-22.963245,-67.787723,358.049405,344.703865,0.000000,0,1,-44.482361,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960141,-67.788640,7.675914,0,-1,-1
-22.963153,-67.787742,368.257320,346.966676,0.000000,0,1,-46.225432,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960113,-67.788502,7.205012,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962761,-67.787821,405.950451,357.626861,0.000000,0,1,-52.656673,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960027,-67.787943,8.460308,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963153,-67.787742,368.257320,346.966676,0.000000,0,1,-46.225432,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960113,-67.788502,7.205012,0,-1,-1
-22.963245,-67.787723,358.049405,344.703865,0.000000,0,1,-44.482361,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960141,-67.788640,7.675914,0,-1,-1
-22.963334,-67.787705,347.544515,342.570474,0.000000,0,1,-42.694289,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960171,-67.788778,8.460308,0,-1,-1
-22.963245,-67.787723,358.049405,344.703865,0.000000,0,1,-44.482361,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960141,-67.788640,7.675914,0,-1,-1
-22.963153,-67.787742,368.257320,346.966676,0.000000,0,1,-46.225432,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960113,-67.788502,7.205012,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962761,-67.787821,405.950451,357.626861,0.000000,0,1,-52.656673,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960027,-67.787943,8.460308,0,-1,-1
-22.962862,-67.787800,397.014166,354.686318,0.000000,0,1,-51.141559,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960045,-67.788083,7.675914,0,-1,-1
-22.962962,-67.787780,387.747945,351.941269,0.000000,0,1,-49.560255,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960065,-67.788223,7.205012,0,-1,-1
-22.963059,-67.787761,378.159626,349.373778,0.000000,0,1,-47.919637,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788363,7.048000,0,-1,-1
-22.963153,-67.787742,368.257320,346.966676,0.000000,0,1,-46.225432,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960113,-67.788502,7.205012,0,-1,-1
-22.963245,-67.787723,358.049405,344.703865,0.000000,0,1,-44.482361,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960141,-67.788640,7.675914,0,-1,-1
-22.963334,-67.787705,347.544515,342.570474,0.000000,0,1,-42.694289,-1,0.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960171,-67.788778,8.460308,0,-1,-1
