latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96301184984762,-67.78836749427113,374.87928930608905,359.468220002878,485.4560832513624,0,1,-47.91344868139292,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96301184984762,-67.78836749427113,374.87928930608905,359.468220002878,485.4560832513624,0,1,-47.91344868139292,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96301184984762,-67.78836749427113,374.87928930608905,359.468220002878,485.4560832513624,0,1,-47.91344868139292,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96301184984762,-67.78836749427113,374.87928930608905,359.468220002878,485.4560832513624,0,1,-47.91344868139292,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96301184984762,-67.78836749427113,374.87928930608905,359.468220002878,485.4560832513624,0,1,-47.91344868139292,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96301184984762,-67.78836749427113,374.87928930608905,359.468220002878,485.4560832513624,0,1,-47.91344868139292,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96301184984762,-67.78836749427113,374.87928930608905,359.468220002878,485.4560832513624,0,1,-47.91344868139292,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962717388981062,-67.78837044190949,401.8652401380068,359.468220002878,485.4560832513624,0,1,-52.913448681392936,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96277796283868,-67.78836983551251,396.6975698820497,359.468220002878,485.4560832513624,0,1,-51.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.962837713925158,-67.78836923736927,391.4135129543138,359.468220002878,485.4560832513624,0,1,-50.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96289662404095,-67.78836864766197,386.01467864166625,359.468220002878,485.4560832513624,0,1,-49.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
-22.96295467524248,-67.78836806657024,380.5027111900836,359.468220002878,485.4560832513624,0,1,-48.91344868139293,-1,0,0,1.5,-22.960082399315557,-67.78815524462813,14.596846154983723,0
