latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993098220704,-67.78466433128314,390.7193382531277,273.4168128624971,466.1024275322809,0,1,-55.95982169135549,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993098220704,-67.78466433128314,390.7193382531277,273.4168128624971,466.1024275322809,0,1,-55.95982169135549,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993098220704,-67.78466433128314,390.7193382531277,273.4168128624971,466.1024275322809,0,1,-55.95982169135549,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993098220704,-67.78466433128314,390.7193382531277,273.4168128624971,466.1024275322809,0,1,-55.95982169135549,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993098220704,-67.78466433128314,390.7193382531277,273.4168128624971,466.1024275322809,0,1,-55.95982169135549,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993098220704,-67.78466433128314,390.7193382531277,273.4168128624971,466.1024275322809,0,1,-55.95982169135549,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993098220704,-67.78466433128314,390.7193382531277,273.4168128624971,466.1024275322809,0,1,-55.95982169135549,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959912354154774,-67.78500137514564,411.98794149768855,273.4168128624971,466.1024275322809,0,1,-60.95982169135547,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959916158505813,-67.78493254290642,407.97747298713057,273.4168128624971,466.1024275322809,0,1,-59.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95991992462667,-67.7848644017555,403.84410109299006,273.4168128624971,466.1024275322809,0,1,-58.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95992365137121,-67.7847969724469,399.5890846448756,273.4168128624971,466.1024275322809,0,1,-57.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959927337605265,-67.78473027551796,395.2137195213272,273.4168128624971,466.1024275322809,0,1,-56.95982169135548,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
