latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.960249,-67.786899,20.0,0.0,500.00000000000006,0,1,-48.0,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.961217,-67.786888,100.0,0.0,500.00000000000006,0,1,-48.0,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-48.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.9626366087726,-67.78779606354033,404.37267907388923,0.0,500.00000000000006,0,1,-53.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-48.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.9626366087726,-67.78779606354033,404.37267907388923,0.0,500.00000000000006,0,1,-53.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-48.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.9626366087726,-67.78779606354033,404.37267907388923,0.0,500.00000000000006,0,1,-53.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-48.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.9626366087726,-67.78779606354033,404.37267907388923,0.0,500.00000000000006,0,1,-53.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-48.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.9626366087726,-67.78779606354033,404.37267907388923,0.0,500.00000000000006,0,1,-53.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962714556937158,-67.78779606354033,397.71380472936744,0.0,500.00000000000006,0,1,-51.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962791176156525,-67.78779606354033,390.8680505972079,0.0,500.00000000000006,0,1,-50.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962866429966496,-67.78779606354033,383.8386742856019,0.0,500.00000000000006,0,1,-49.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
