latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959920830971605,-67.78478038101973,397.3753104434627,269.29257194048853,509.20706906598866,0,1,-50.33086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920830971605,-67.78478038101973,397.3753104434627,269.29257194048853,509.20706906598866,0,1,-50.33086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922773026246,-67.78494995815977,411.1800898185156,269.29257194048853,509.20706906598866,0,1,-52.83086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922773026246,-67.78494995815977,411.1800898185156,269.29257194048853,509.20706906598866,0,1,-52.83086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920830971605,-67.78478038101973,397.3753104434627,269.29257194048853,509.20706906598866,0,1,-50.33086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920830971605,-67.78478038101973,397.3753104434627,269.29257194048853,509.20706906598866,0,1,-50.33086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922773026246,-67.78494995815977,411.1800898185156,269.29257194048853,509.20706906598866,0,1,-52.83086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922773026246,-67.78494995815977,411.1800898185156,269.29257194048853,509.20706906598866,0,1,-52.83086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920830971605,-67.78478038101973,397.3753104434627,269.29257194048853,509.20706906598866,0,1,-50.33086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920830971605,-67.78478038101973,397.3753104434627,269.29257194048853,509.20706906598866,0,1,-50.33086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922773026246,-67.78494995815977,411.1800898185156,269.29257194048853,509.20706906598866,0,1,-52.83086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922773026246,-67.78494995815977,411.1800898185156,269.29257194048853,509.20706906598866,0,1,-52.83086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920830971605,-67.78478038101973,397.3753104434627,269.29257194048853,509.20706906598866,0,1,-50.33086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
