latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.960249,-67.786899,20.0,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.961217,-67.786888,100.0,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96327418167106,-67.78779606354033,339.62396873336,0.0,500.00000000000006,0,1,-41.999999999999986,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962699072441776,-67.78779606354033,399.0606326694742,0.0,500.00000000000006,0,1,-52.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962821443550002,-67.78779606354033,388.0781493549821,0.0,500.00000000000006,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962940282552207,-67.78779606354033,376.62902079168543,0.0,500.00000000000006,0,1,-47.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963055444667855,-67.78779606354033,364.72719349454474,0.0,500.00000000000006,0,1,-45.99999999999998,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96316678959296,-67.78779606354033,352.3871655046032,0.0,500.00000000000006,0,1,-43.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
