latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96327255589157,-67.78776191188247,340.89887816348437,353.42108895469715,489.8587061890295,0,1,-43.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96270184888384,-67.78783298753046,397.7887212329251,353.42108895469715,489.8587061890295,0,1,-53.21858137731903,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96327255589157,-67.78776191188247,340.89887816348437,353.42108895469715,489.8587061890295,0,1,-43.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96270184888384,-67.78783298753046,397.7887212329251,353.42108895469715,489.8587061890295,0,1,-53.21858137731903,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96327255589157,-67.78776191188247,340.89887816348437,353.42108895469715,489.8587061890295,0,1,-43.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96270184888384,-67.78783298753046,397.7887212329251,353.42108895469715,489.8587061890295,0,1,-53.21858137731903,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96327255589157,-67.78776191188247,340.89887816348437,353.42108895469715,489.8587061890295,0,1,-43.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96270184888384,-67.78783298753046,397.7887212329251,353.42108895469715,489.8587061890295,0,1,-53.21858137731903,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96327255589157,-67.78776191188247,340.89887816348437,353.42108895469715,489.8587061890295,0,1,-43.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96270184888384,-67.78783298753046,397.7887212329251,353.42108895469715,489.8587061890295,0,1,-53.21858137731903,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96327255589157,-67.78776191188247,340.89887816348437,353.42108895469715,489.8587061890295,0,1,-43.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96270184888384,-67.78783298753046,397.7887212329251,353.42108895469715,489.8587061890295,0,1,-53.21858137731903,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96327255589157,-67.78776191188247,340.89887816348437,353.42108895469715,489.8587061890295,0,1,-43.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96270184888384,-67.78783298753046,397.7887212329251,353.42108895469715,489.8587061890295,0,1,-53.21858137731903,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962822972495214,-67.7878179027925,387.3140219540692,353.42108895469715,489.8587061890295,0,1,-51.21858137731905,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.962940746339402,-67.78780323525427,376.37408816284733,353.42108895469715,489.8587061890295,0,1,-49.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.963055026935205,-67.7877890027872,364.982246116444,353.42108895469715,489.8587061890295,0,1,-47.21858137731904,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
-22.96316567505445,-67.78777522273296,353.1523726258438,353.42108895469715,489.8587061890295,0,1,-45.218581377319026,-1,0,0,1.5,-22.960073040000008,-67.78816040999999,5.441000000270833,0
